INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,HEADING,NSAT (USED/VIEW),DISTANCE,
1,T,2008/01/27,13:03:22.836,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(7),      0.00 m,
2,B,2008/01/27,13:03:24.836,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(9),      0.00 m,
3,T,2008/01/27,14:13:51.012,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(0),      0.00 m,
4,T,2008/01/27,14:13:56.812,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(5),      0.00 m,
5,T,2008/01/27,14:14:01.812,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(10),      0.00 m,
6,T,2008/01/27,14:14:07.532,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(9),      0.00 m,
7,T,2008/01/27,14:14:12.532,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(9),      0.00 m,
8,T,2008/01/27,14:14:17.532,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(10),      0.00 m,
9,T,2008/01/27,14:14:22.532,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(10),      0.00 m,
10,T,2008/01/27,14:14:27.532,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(9),      0.00 m,
11,D,2008/01/27,14:14:28.531,No fix,57.705089,N,11.996373,E,98.409 m,2.142 km/h,0.000000,2(9),   2006.55 m,
12,T,2008/01/27,14:14:34.000,No fix,57.704939,N,11.996336,E,98.469 m,1.093 km/h,0.000000,2(9),     16.80 m,
13,D,2008/01/27,14:14:35.000,SPS,57.707240,N,11.967281,E,22.480 m,4.329 km/h,0.000000,6(9),   1752.68 m,
14,T,2008/01/27,14:14:40.000,SPS,57.707220,N,11.967151,E,32.486 m,3.883 km/h,0.000000,6(9),     12.87 m,
15,T,2008/01/27,14:14:45.000,SPS,57.707209,N,11.967053,E,34.286 m,3.788 km/h,0.000000,8(9),      6.24 m,
16,T,2008/01/27,14:14:50.000,SPS,57.707201,N,11.966970,E,33.626 m,3.570 km/h,0.000000,8(9),      5.06 m,
17,T,2008/01/27,14:14:55.000,SPS,57.707198,N,11.966948,E,34.133 m,1.588 km/h,0.000000,8(9),      1.44 m,
18,T,2008/01/27,14:15:00.000,SPS,57.707199,N,11.966980,E,34.461 m,2.094 km/h,0.000000,8(9),      1.98 m,
19,T,2008/01/27,14:15:05.000,SPS,57.707202,N,11.966988,E,34.240 m,0.301 km/h,0.000000,9(9),      0.63 m,
20,B,2008/01/27,14:15:09.000,SPS,57.707192,N,11.967000,E,34.320 m,1.198 km/h,0.000000,8(9),      1.35 m,
21,T,2008/01/27,14:15:14.000,SPS,57.707180,N,11.967054,E,34.183 m,1.906 km/h,0.000000,8(9),      3.51 m,
22,T,2008/01/27,14:15:19.000,SPS,57.707141,N,11.967152,E,34.389 m,4.819 km/h,0.000000,9(9),      7.29 m,
23,T,2008/01/27,14:15:24.000,SPS,57.707082,N,11.967244,E,34.793 m,5.849 km/h,0.000000,9(9),      8.58 m,
24,T,2008/01/27,14:15:29.000,SPS,57.707028,N,11.967342,E,35.034 m,5.930 km/h,0.000000,9(9),      8.39 m,
25,T,2008/01/27,14:15:34.000,SPS,57.706993,N,11.967462,E,35.394 m,4.971 km/h,0.000000,9(9),      8.13 m,
26,T,2008/01/27,14:15:39.000,SPS,57.706920,N,11.967556,E,34.952 m,6.284 km/h,145.024078,9(9),      9.85 m,
27,T,2008/01/27,14:15:44.000,SPS,57.706865,N,11.967651,E,36.921 m,6.656 km/h,142.223740,8(9),      8.65 m,
28,T,2008/01/27,14:15:49.000,SPS,57.706812,N,11.967756,E,36.359 m,5.452 km/h,144.998688,8(9),      8.56 m,
29,T,2008/01/27,14:15:54.000,SPS,57.706746,N,11.967810,E,35.562 m,4.889 km/h,144.998688,9(9),      8.04 m,
30,T,2008/01/27,14:15:59.000,SPS,57.706677,N,11.967837,E,35.367 m,4.960 km/h,144.998688,9(9),      7.91 m,
31,T,2008/01/27,14:16:04.000,SPS,57.706618,N,11.967878,E,35.278 m,5.648 km/h,144.998688,9(9),      6.99 m,
32,T,2008/01/27,14:16:09.000,SPS,57.706547,N,11.967903,E,34.554 m,5.879 km/h,144.998688,9(9),      8.03 m,
33,T,2008/01/27,14:16:14.000,SPS,57.706513,N,11.967905,E,35.263 m,0.183 km/h,144.998688,9(9),      3.86 m,
34,T,2008/01/27,14:16:19.000,SPS,57.706515,N,11.967900,E,35.184 m,1.538 km/h,144.998688,8(9),      0.37 m,
35,T,2008/01/27,14:16:24.000,SPS,57.706515,N,11.967898,E,35.184 m,0.110 km/h,144.998688,8(9),      0.11 m,
36,T,2008/01/27,14:16:29.000,SPS,57.706514,N,11.967898,E,35.194 m,0.015 km/h,144.998688,8(9),      0.04 m,
37,T,2008/01/27,14:16:34.000,SPS,57.706514,N,11.967898,E,35.194 m,0.028 km/h,144.998688,9(9),      0.04 m,
38,T,2008/01/27,14:16:39.000,SPS,57.706513,N,11.967898,E,35.195 m,0.032 km/h,144.998688,8(9),      0.08 m,
39,T,2008/01/27,14:16:44.000,SPS,57.706493,N,11.967904,E,35.155 m,5.219 km/h,144.998688,8(9),      2.31 m,
40,T,2008/01/27,14:16:49.000,SPS,57.706432,N,11.967966,E,36.225 m,5.103 km/h,148.006943,7(9),      7.81 m,
41,T,2008/01/27,14:16:54.000,SPS,57.706373,N,11.968041,E,35.693 m,4.740 km/h,145.174026,9(9),      7.94 m,
42,T,2008/01/27,14:16:59.000,SPS,57.706330,N,11.968089,E,36.124 m,2.401 km/h,145.174026,9(9),      5.62 m,
43,T,2008/01/27,14:17:04.000,SPS,57.706291,N,11.968096,E,34.865 m,1.065 km/h,145.174026,8(9),      4.55 m,
44,T,2008/01/27,14:17:09.000,SPS,57.706252,N,11.968083,E,34.707 m,2.964 km/h,145.174026,9(9),      4.39 m,
45,T,2008/01/27,14:17:14.000,SPS,57.706197,N,11.968102,E,35.035 m,5.348 km/h,145.174026,8(9),      6.24 m,
46,T,2008/01/27,14:17:19.000,SPS,57.706132,N,11.968132,E,35.846 m,3.733 km/h,145.174026,9(9),      7.54 m,
47,T,2008/01/27,14:17:24.000,SPS,57.706048,N,11.968163,E,36.723 m,7.332 km/h,193.604065,9(9),      9.51 m,
48,T,2008/01/27,14:17:29.000,SPS,57.706021,N,11.968163,E,36.816 m,0.122 km/h,193.604065,9(9),      3.08 m,
49,T,2008/01/27,14:17:34.000,SPS,57.706023,N,11.968161,E,36.775 m,0.368 km/h,193.604065,9(9),      0.25 m,
50,T,2008/01/27,14:17:39.000,SPS,57.706017,N,11.968170,E,36.756 m,1.212 km/h,193.604065,8(9),      0.80 m,
51,T,2008/01/27,14:17:44.000,SPS,57.706005,N,11.968188,E,36.742 m,1.749 km/h,193.604065,9(9),      1.75 m,
52,T,2008/01/27,14:17:49.000,SPS,57.705990,N,11.968206,E,36.740 m,0.692 km/h,193.604065,9(9),      1.97 m,
53,T,2008/01/27,14:17:54.000,SPS,57.706007,N,11.968194,E,36.763 m,3.844 km/h,193.604065,7(9),      1.99 m,
54,T,2008/01/27,14:17:59.000,SPS,57.706115,N,11.968266,E,36.768 m,8.742 km/h,351.843750,8(9),     12.76 m,
55,T,2008/01/27,14:18:04.000,SPS,57.706186,N,11.968516,E,37.723 m,0.918 km/h,2.294798,7(9),     16.95 m,
56,T,2008/01/27,14:18:09.000,SPS,57.706125,N,11.968584,E,38.271 m,2.661 km/h,2.294798,9(9),      7.88 m,
57,T,2008/01/27,14:18:14.000,SPS,57.706084,N,11.968609,E,39.401 m,5.108 km/h,2.294798,9(9),      4.95 m,
58,T,2008/01/27,14:18:19.000,SPS,57.705972,N,11.968670,E,42.658 m,4.392 km/h,2.294798,9(9),     13.37 m,
59,T,2008/01/27,14:18:24.000,SPS,57.705860,N,11.968734,E,44.571 m,4.576 km/h,143.381439,9(9),     13.18 m,
60,T,2008/01/27,14:18:29.000,SPS,57.705777,N,11.968797,E,46.084 m,5.476 km/h,143.381439,9(9),     10.11 m,
61,T,2008/01/27,14:18:34.000,SPS,57.705688,N,11.968830,E,47.522 m,4.338 km/h,143.381439,9(9),     10.22 m,
62,T,2008/01/27,14:18:39.000,SPS,57.705562,N,11.968854,E,46.846 m,5.019 km/h,140.877411,9(9),     14.09 m,
63,T,2008/01/27,14:18:44.000,SPS,57.705429,N,11.968857,E,42.744 m,4.944 km/h,140.877411,9(9),     15.41 m,
64,T,2008/01/27,14:18:49.000,SPS,57.705335,N,11.968908,E,41.074 m,7.019 km/h,140.877411,7(9),     10.98 m,
65,T,2008/01/27,14:18:54.000,SPS,57.705285,N,11.968814,E,53.912 m,3.695 km/h,142.614777,9(9),     15.06 m,
66,T,2008/01/27,14:18:59.000,SPS,57.705250,N,11.968786,E,57.604 m,4.404 km/h,142.614777,9(9),      5.66 m,
67,T,2008/01/27,14:19:04.000,SPS,57.705181,N,11.968788,E,59.425 m,6.306 km/h,144.389893,9(9),      7.95 m,
68,T,2008/01/27,14:19:09.000,SPS,57.705107,N,11.968813,E,59.241 m,4.660 km/h,144.389893,8(9),      8.30 m,
69,T,2008/01/27,14:19:14.000,SPS,57.705027,N,11.968819,E,56.956 m,5.931 km/h,144.389893,7(9),      9.26 m,
70,T,2008/01/27,14:19:19.000,SPS,57.704951,N,11.968824,E,55.168 m,5.787 km/h,144.389893,8(9),      8.68 m,
71,T,2008/01/27,14:19:24.000,SPS,57.704891,N,11.968841,E,52.904 m,4.115 km/h,142.798004,8(9),      7.03 m,
72,T,2008/01/27,14:19:29.000,SPS,57.704841,N,11.968864,E,52.243 m,4.262 km/h,142.798004,9(9),      5.81 m,
73,T,2008/01/27,14:19:34.000,SPS,57.704798,N,11.968902,E,53.329 m,2.691 km/h,142.798004,9(9),      5.37 m,
74,T,2008/01/27,14:19:39.000,SPS,57.704765,N,11.968933,E,51.154 m,5.018 km/h,142.798004,9(9),      4.67 m,
75,T,2008/01/27,14:19:44.000,SPS,57.704710,N,11.969006,E,50.982 m,2.045 km/h,142.061447,9(9),      7.50 m,
76,T,2008/01/27,14:19:49.000,SPS,57.704649,N,11.969040,E,50.857 m,4.554 km/h,142.061447,7(9),      7.13 m,
77,T,2008/01/27,14:19:54.000,SPS,57.704526,N,11.969103,E,49.896 m,5.752 km/h,142.061447,8(9),     14.23 m,
78,T,2008/01/27,14:19:59.000,SPS,57.704421,N,11.969262,E,46.709 m,5.609 km/h,152.146713,8(9),     15.37 m,
79,T,2008/01/27,14:20:04.000,SPS,57.704347,N,11.969332,E,43.882 m,5.225 km/h,153.529343,8(9),      9.72 m,
80,T,2008/01/27,14:20:09.000,SPS,57.704288,N,11.969264,E,41.683 m,6.420 km/h,153.529343,8(9),      7.98 m,
81,T,2008/01/27,14:20:14.000,SPS,57.704252,N,11.969200,E,42.077 m,4.191 km/h,153.663147,9(9),      5.56 m,
82,T,2008/01/27,14:20:19.000,SPS,57.704213,N,11.969243,E,40.520 m,5.118 km/h,153.663147,8(9),      5.32 m,
83,T,2008/01/27,14:20:24.000,SPS,57.704157,N,11.969264,E,40.441 m,5.823 km/h,150.640991,9(9),      6.31 m,
84,T,2008/01/27,14:20:29.000,SPS,57.704116,N,11.969269,E,38.741 m,5.815 km/h,150.640991,8(9),      4.92 m,
85,T,2008/01/27,14:20:34.000,SPS,57.704060,N,11.969300,E,40.093 m,5.564 km/h,149.428802,8(9),      6.58 m,
86,T,2008/01/27,14:20:39.000,SPS,57.704002,N,11.969344,E,43.700 m,6.179 km/h,149.875687,9(9),      7.87 m,
87,T,2008/01/27,14:20:44.000,SPS,57.703946,N,11.969419,E,45.619 m,4.620 km/h,152.252014,9(9),      7.91 m,
88,T,2008/01/27,14:20:49.000,SPS,57.703873,N,11.969494,E,45.383 m,6.091 km/h,152.252014,8(9),      9.30 m,
89,T,2008/01/27,14:20:54.000,SPS,57.703825,N,11.969620,E,43.774 m,5.070 km/h,152.252014,8(9),      9.38 m,
90,T,2008/01/27,14:20:59.000,SPS,57.703769,N,11.969732,E,42.711 m,5.157 km/h,149.309753,8(9),      9.21 m,
91,T,2008/01/27,14:21:04.000,SPS,57.703739,N,11.969839,E,41.588 m,5.432 km/h,149.309753,9(9),      7.24 m,
92,T,2008/01/27,14:21:09.000,SPS,57.703712,N,11.969976,E,39.019 m,5.650 km/h,149.309753,9(9),      9.08 m,
93,T,2008/01/27,14:21:14.000,SPS,57.703658,N,11.970097,E,37.535 m,4.592 km/h,149.309753,8(9),      9.54 m,
94,T,2008/01/27,14:21:19.000,SPS,57.703608,N,11.970196,E,37.183 m,6.357 km/h,149.309753,9(9),      8.09 m,
95,T,2008/01/27,14:21:24.000,SPS,57.703553,N,11.970282,E,35.910 m,5.320 km/h,145.645874,9(9),      8.12 m,
96,T,2008/01/27,14:21:29.000,SPS,57.703497,N,11.970365,E,36.647 m,5.556 km/h,148.902954,9(9),      7.97 m,
97,T,2008/01/27,14:21:34.000,SPS,57.703448,N,11.970437,E,35.836 m,4.999 km/h,144.122391,9(9),      7.03 m,
98,T,2008/01/27,14:21:39.000,SPS,57.703386,N,11.970510,E,35.017 m,5.919 km/h,146.880249,9(9),      8.14 m,
99,T,2008/01/27,14:21:44.000,SPS,57.703320,N,11.970583,E,35.753 m,6.228 km/h,148.921082,9(9),      8.58 m,
100,T,2008/01/27,14:21:49.000,SPS,57.703252,N,11.970652,E,35.331 m,5.456 km/h,150.968842,9(9),      8.67 m,
101,T,2008/01/27,14:21:54.000,SPS,57.703203,N,11.970722,E,36.076 m,6.625 km/h,150.968842,9(9),      6.88 m,
102,T,2008/01/27,14:21:59.000,SPS,57.703141,N,11.970776,E,35.706 m,4.944 km/h,148.422119,9(9),      7.61 m,
103,T,2008/01/27,14:22:04.000,SPS,57.703072,N,11.970804,E,35.922 m,5.725 km/h,148.422119,9(9),      7.88 m,
104,T,2008/01/27,14:22:09.000,SPS,57.703020,N,11.970877,E,36.545 m,5.074 km/h,151.107529,9(9),      7.31 m,
105,T,2008/01/27,14:22:14.000,SPS,57.702966,N,11.970964,E,36.327 m,5.598 km/h,151.107529,9(9),      7.94 m,
106,T,2008/01/27,14:22:19.000,SPS,57.702906,N,11.971040,E,37.919 m,6.304 km/h,151.477859,9(9),      8.26 m,
107,T,2008/01/27,14:22:24.000,SPS,57.702841,N,11.971125,E,37.317 m,5.482 km/h,151.477859,8(9),      8.84 m,
108,T,2008/01/27,14:22:29.000,SPS,57.702774,N,11.971215,E,37.531 m,6.173 km/h,151.477859,9(9),      9.20 m,
109,T,2008/01/27,14:22:34.000,SPS,57.702716,N,11.971303,E,36.046 m,5.410 km/h,152.840408,9(9),      8.41 m,
110,T,2008/01/27,14:22:39.000,SPS,57.702654,N,11.971376,E,35.769 m,4.778 km/h,149.361832,9(9),      8.17 m,
111,T,2008/01/27,14:22:44.000,SPS,57.702598,N,11.971460,E,36.368 m,6.357 km/h,152.900650,9(9),      8.01 m,
112,T,2008/01/27,14:22:49.000,SPS,57.702544,N,11.971540,E,36.279 m,5.471 km/h,151.154800,9(9),      7.70 m,
113,T,2008/01/27,14:22:54.000,SPS,57.702491,N,11.971608,E,36.259 m,4.905 km/h,147.538422,9(9),      7.17 m,
114,T,2008/01/27,14:22:59.000,SPS,57.702441,N,11.971678,E,37.068 m,5.114 km/h,147.538422,9(9),      6.97 m,
115,T,2008/01/27,14:23:04.000,SPS,57.702397,N,11.971745,E,37.291 m,4.761 km/h,147.538422,9(9),      6.40 m,
116,T,2008/01/27,14:23:09.000,SPS,57.702389,N,11.971776,E,36.768 m,0.013 km/h,147.538422,9(9),      2.11 m,
117,T,2008/01/27,14:23:14.000,SPS,57.702389,N,11.971776,E,36.757 m,0.020 km/h,147.538422,9(9),      0.01 m,
118,T,2008/01/27,14:23:19.000,SPS,57.702387,N,11.971779,E,36.756 m,1.288 km/h,147.538422,9(9),      0.24 m,
119,T,2008/01/27,14:23:24.000,SPS,57.702382,N,11.971772,E,36.850 m,0.031 km/h,147.538422,9(9),      0.71 m,
120,T,2008/01/27,14:23:29.000,SPS,57.702360,N,11.971813,E,36.804 m,5.462 km/h,147.397430,9(9),      3.48 m,
121,T,2008/01/27,14:23:34.000,SPS,57.702310,N,11.971900,E,37.637 m,6.343 km/h,146.144302,9(9),      7.60 m,
122,T,2008/01/27,14:23:39.000,SPS,57.702262,N,11.971989,E,37.109 m,5.282 km/h,146.144302,9(9),      7.56 m,
123,T,2008/01/27,14:23:44.000,SPS,57.702205,N,11.972077,E,36.777 m,5.387 km/h,142.318588,9(9),      8.29 m,
124,T,2008/01/27,14:23:49.000,SPS,57.702167,N,11.972155,E,36.541 m,4.789 km/h,141.388947,9(9),      6.28 m,
125,T,2008/01/27,14:23:54.000,SPS,57.702114,N,11.972225,E,37.536 m,4.316 km/h,143.495270,9(9),      7.25 m,
126,T,2008/01/27,14:23:59.000,SPS,57.702075,N,11.972305,E,38.683 m,3.844 km/h,143.495270,9(9),      6.61 m,
127,T,2008/01/27,14:24:04.000,SPS,57.702031,N,11.972358,E,40.180 m,5.849 km/h,143.495270,8(9),      6.05 m,
128,T,2008/01/27,14:24:09.000,SPS,57.702005,N,11.972405,E,40.464 m,2.516 km/h,143.495270,8(9),      4.01 m,
129,T,2008/01/27,14:24:14.000,SPS,57.701941,N,11.972475,E,40.150 m,4.882 km/h,142.500504,8(9),      8.26 m,
130,T,2008/01/27,14:24:19.000,SPS,57.701902,N,11.972565,E,41.289 m,4.514 km/h,142.500504,9(9),      6.97 m,
131,T,2008/01/27,14:24:24.000,SPS,57.701854,N,11.972631,E,43.597 m,5.178 km/h,142.500504,8(9),      7.07 m,
132,T,2008/01/27,14:24:29.000,SPS,57.701806,N,11.972704,E,45.537 m,5.645 km/h,144.574066,9(9),      7.15 m,
133,T,2008/01/27,14:24:34.000,SPS,57.701765,N,11.972797,E,46.518 m,4.432 km/h,144.574066,9(9),      7.27 m,
134,T,2008/01/27,14:24:39.000,SPS,57.701719,N,11.972896,E,47.777 m,4.439 km/h,144.574066,9(9),      7.91 m,
135,T,2008/01/27,14:24:44.000,SPS,57.701652,N,11.972960,E,47.737 m,5.667 km/h,139.446564,9(9),      8.37 m,
136,T,2008/01/27,14:24:49.000,SPS,57.701602,N,11.973009,E,48.639 m,6.125 km/h,139.909683,7(9),      6.38 m,
137,T,2008/01/27,14:24:54.000,SPS,57.701564,N,11.973088,E,49.968 m,4.705 km/h,139.909683,8(9),      6.46 m,
138,T,2008/01/27,14:24:59.000,SPS,57.701515,N,11.973171,E,52.496 m,4.574 km/h,140.883011,8(9),      7.81 m,
139,T,2008/01/27,14:25:04.000,SPS,57.701465,N,11.973252,E,55.388 m,6.149 km/h,142.145920,8(9),      7.89 m,
140,T,2008/01/27,14:25:09.000,SPS,57.701428,N,11.973333,E,57.299 m,4.935 km/h,141.485916,8(9),      6.64 m,
141,T,2008/01/27,14:25:14.000,SPS,57.701378,N,11.973416,E,58.615 m,4.705 km/h,139.331635,8(9),      7.51 m,
142,T,2008/01/27,14:25:19.000,SPS,57.701333,N,11.973495,E,61.027 m,3.944 km/h,140.293564,8(9),      7.27 m,
143,T,2008/01/27,14:25:24.000,SPS,57.701295,N,11.973585,E,63.131 m,6.009 km/h,142.518753,8(9),      7.20 m,
144,T,2008/01/27,14:25:29.000,SPS,57.701252,N,11.973650,E,64.942 m,4.910 km/h,142.518753,8(9),      6.38 m,
145,T,2008/01/27,14:25:34.000,SPS,57.701196,N,11.973733,E,65.995 m,5.170 km/h,143.172440,8(9),      8.10 m,
146,T,2008/01/27,14:25:39.000,SPS,57.701145,N,11.973814,E,66.960 m,6.035 km/h,143.604630,8(9),      7.53 m,
147,T,2008/01/27,14:25:44.000,SPS,57.701097,N,11.973898,E,66.496 m,5.760 km/h,143.604630,8(9),      7.31 m,
148,T,2008/01/27,14:25:49.000,SPS,57.701038,N,11.973964,E,66.285 m,4.407 km/h,144.729324,8(9),      7.62 m,
149,T,2008/01/27,14:25:54.000,SPS,57.700892,N,11.974022,E,54.864 m,5.331 km/h,141.792358,8(9),     20.22 m,
150,T,2008/01/27,14:25:59.000,SPS,57.700807,N,11.974077,E,49.539 m,4.924 km/h,141.792358,8(9),     11.29 m,
151,T,2008/01/27,14:26:04.000,SPS,57.700763,N,11.974153,E,48.266 m,5.889 km/h,138.983597,8(9),      6.84 m,
152,T,2008/01/27,14:26:09.000,SPS,57.700702,N,11.974227,E,46.362 m,7.215 km/h,154.235672,8(9),      8.34 m,
153,T,2008/01/27,14:26:14.000,SPS,57.700652,N,11.974287,E,45.062 m,5.653 km/h,152.009735,7(9),      6.70 m,
154,T,2008/01/27,14:26:19.000,SPS,57.700596,N,11.974367,E,45.015 m,4.898 km/h,152.009735,8(9),      7.86 m,
155,T,2008/01/27,14:26:24.000,SPS,57.700539,N,11.974445,E,46.408 m,5.194 km/h,146.927551,8(9),      8.01 m,
156,T,2008/01/27,14:26:29.000,SPS,57.700501,N,11.974528,E,48.432 m,5.674 km/h,144.441391,8(9),      6.77 m,
157,T,2008/01/27,14:26:34.000,SPS,57.700449,N,11.974601,E,50.567 m,4.294 km/h,148.208267,8(9),      7.54 m,
158,T,2008/01/27,14:26:39.000,SPS,57.700399,N,11.974682,E,51.603 m,4.031 km/h,148.208267,8(9),      7.50 m,
159,T,2008/01/27,14:26:44.000,SPS,57.700365,N,11.974767,E,53.746 m,5.657 km/h,148.208267,8(9),      6.70 m,
160,T,2008/01/27,14:26:49.000,SPS,57.700316,N,11.974832,E,56.361 m,5.684 km/h,148.971863,8(9),      7.15 m,
161,T,2008/01/27,14:26:54.000,SPS,57.700283,N,11.974908,E,58.788 m,4.602 km/h,146.601395,8(9),      6.32 m,
162,T,2008/01/27,14:26:59.000,SPS,57.700240,N,11.975000,E,60.958 m,4.184 km/h,148.007050,9(9),      7.60 m,
163,T,2008/01/27,14:27:04.000,SPS,57.700172,N,11.975046,E,63.890 m,5.937 km/h,148.007050,9(9),      8.53 m,
164,T,2008/01/27,14:27:09.000,SPS,57.700144,N,11.975124,E,67.956 m,4.641 km/h,149.515228,8(9),      6.93 m,
